A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
7.1956761324e-07,9.095874283421999e-07,7.295572678530002e-08,7.470918693819992e-08,4.985932524698992e-08,1.8029919884358176e-08,1.766259422692002e-08,4.6521726659900006e-08,1.7568531188899924e-08,3.1343829727169825e-08,2.234577237958003e-07,2.2691257659044438e-06,train
7.672130789985e-07,9.213156709679999e-07,7.295212538259987e-08,7.460405493380002e-08,4.98605759102599e-08,1.802889733080679e-08,1.7853170719227775e-08,4.6528101295079995e-08,1.7568008313400117e-08,3.134709437162e-08,6.991237317365782e-07,2.4177200685806793e-06,train
8.0688941395e-07,9.391498873897e-07,7.295027206939996e-08,7.452883546030013e-08,4.986273394673006e-08,1.8028227088452988e-08,1.800908354225069e-08,4.653375232525995e-08,1.7567985327699962e-08,3.1356351441009804e-08,9.579179854746263e-07,2.997774753300457e-06,train
8.091705251831e-07,8.17710331515e-07,7.297743753420004e-08,7.452303432329998e-08,4.9866565656829994e-08,1.8029125109202835e-08,1.802669393117702e-08,4.6546730475539966e-08,1.7568541460100005e-08,3.134326086089002e-08,2.9331389190567577e-06,4.9764360091192676e-08,train
8.17599960517e-07,9.111309278877999e-07,7.295505065439995e-08,7.450573553050005e-08,4.986361055388995e-08,1.8028103168617007e-08,1.8060530444459847e-08,4.654045922976988e-08,1.756782503600008e-08,3.134807101869996e-08,2.0324200685196308e-06,1.722164915166636e-06,train
6.50703820202e-07,8.312014263249e-07,7.297935505410005e-08,7.489115352019989e-08,4.986136699426991e-08,1.803250390352193e-08,1.7384428238116932e-08,4.6520056184819956e-08,1.7570244404999807e-08,3.134124322890983e-08,3.9838431012749155e-07,1.0356348406404908e-06,train
6.345413732639999e-07,8.448753301956e-07,7.297718485819992e-08,7.493872955489997e-08,4.9860658890019925e-08,1.803288957255918e-08,1.7319796545027215e-08,4.651716560618994e-08,1.7570426248299795e-08,3.1341682647069884e-08,1.328356759466649e-07,1.2718371296767706e-06,train
7.295506304303e-07,8.015726671689999e-07,7.298220134059989e-08,7.468853126369989e-08,4.986396437625985e-08,1.803086220878813e-08,1.7701276784834077e-08,4.653268685320992e-08,1.7569262642299936e-08,3.1340956157729964e-08,1.516521388234614e-06,3.8286640460538823e-07,train
8.204925208612e-07,9.291473551084999e-07,7.295219928559993e-08,7.450226881460001e-08,4.9863655752349826e-08,1.8028005235641945e-08,1.806861629421791e-08,4.653889250722e-08,1.7567884630699904e-08,3.135326841265997e-08,1.6615100611663684e-06,2.370540775573423e-06,train
6.79175595801e-07,7.981243846829999e-07,7.298617156280003e-08,7.481390909439987e-08,4.986334511746998e-08,1.803220247642999e-08,1.7497209967896904e-08,4.65260893391399e-08,1.7570142222699947e-08,3.134178897819006e-08,9.059806182698766e-07,5.615498339361288e-07,train
6.92113293225e-07,8.633790756862e-07,7.296774059609981e-08,7.477660760589988e-08,4.9860359658910136e-08,1.803097241495804e-08,1.7553230664127206e-08,4.652239818440991e-08,1.756920175019996e-08,3.133999460672996e-08,5.588640195794728e-07,1.3482378119621762e-06,train
8.731352076057e-07,9.455616872930999e-07,7.295783193329998e-08,7.441967388379998e-08,4.987014327591987e-08,1.8027724243858945e-08,1.8284161128102227e-08,4.655504034920984e-08,1.7568606504499908e-08,3.137195399632e-08,2.9943675808346343e-06,2.7402831858848925e-06,train
8.359211383342999e-07,9.415992110749e-07,7.29520151545999e-08,7.447778221589977e-08,4.986514430555011e-08,1.8027942031783015e-08,1.812774372879396e-08,4.6541302069289945e-08,1.7568022032599852e-08,3.136115380802987e-08,1.6733846415565833e-06,2.8970923717064527e-06,train
7.453016121522999e-07,9.064145756154e-07,7.295526949269993e-08,7.465000788350007e-08,4.9860085378009935e-08,1.802930133478423e-08,1.7766774976013014e-08,4.652601368775001e-08,1.756822401989996e-08,3.1343317168699876e-08,6.661827833560794e-07,2.0415054982866513e-06,train
7.02226649855e-07,8.986103437953e-07,7.295884477659991e-08,7.475096962919992e-08,4.985927100858002e-08,1.803037295461199e-08,1.7593675907624897e-08,4.652051858652002e-08,1.756879680689983e-08,3.134220713654015e-08,2.066583320726727e-07,2.0354601733484135e-06,train
6.340091286159999e-07,8.560954631034999e-07,7.297436606100009e-08,7.493998624289994e-08,4.986014690650006e-08,1.8032769752381935e-08,1.731819559772496e-08,4.6516255973559966e-08,1.7570347345899833e-08,3.134168797506001e-08,2.310120566449636e-08,1.4420648103841368e-06,train
7.269023620461e-07,8.892629169446e-07,7.295967450819999e-08,7.469123535180007e-08,4.986005464091985e-08,1.8029822902883176e-08,1.7693563811525223e-08,4.6524934287269874e-08,1.7568439455000073e-08,3.134104659442003e-08,6.83670594738777e-07,1.6951550362670456e-06,train
7.097760368610001e-07,8.535455537621e-07,7.296915983709992e-08,7.473257824989993e-08,4.9861039687219914e-08,1.803064220891227e-08,1.762425223279508e-08,4.6525598744379966e-08,1.7568983979899893e-08,3.133953320867987e-08,8.696107879435823e-07,1.121249623567053e-06,train
8.343993380996e-07,9.107760522869999e-07,7.295652955709997e-08,7.447639204040009e-08,4.986508468464002e-08,1.8027872565736872e-08,1.813034863410502e-08,4.6545388408969955e-08,1.756784219530004e-08,3.135016360125997e-08,2.5262999009090064e-06,1.568033830619143e-06,train
7.04280116552e-07,7.786384211589e-07,7.299018250469986e-08,7.475084125399986e-08,4.986474413332992e-08,1.8031761443107914e-08,1.7597201519871934e-08,4.653089737904995e-08,1.7569957932999824e-08,3.1342573758139994e-08,1.3055306992162838e-06,2.658318346719346e-07,train
7.763915935473e-07,8.803107451883e-07,7.296052679239989e-08,7.458369949819995e-08,4.9862004881400106e-08,1.8028917964584655e-08,1.789413335380997e-08,4.653417956163991e-08,1.756805381929992e-08,3.134127878628993e-08,1.605641990724759e-06,1.2472156749995162e-06,train
8.366258840306e-07,9.303014859102e-07,7.295335384499992e-08,7.447447114289999e-08,4.986503811661003e-08,1.8027859993115875e-08,1.8135237851178018e-08,4.654350107316992e-08,1.7567894850799757e-08,3.135595608494992e-08,2.1062773393545376e-06,2.2816304916861416e-06,train
8.192051927829999e-07,9.111787738045e-07,7.295519762040005e-08,7.450291719580001e-08,4.986378890854996e-08,1.8027999372192104e-08,1.806712265645693e-08,4.654094137293989e-08,1.756781655229998e-08,3.134826988942006e-08,2.074514933281403e-06,1.7108178849906034e-06,train
8.58201998919e-07,9.416380371563e-07,7.295502017950002e-08,7.444139343279984e-08,4.9867744259300004e-08,1.8027796043144797e-08,1.8221734083622855e-08,4.654926720369998e-08,1.7568208529300012e-08,3.1365365865619885e-08,2.4854584862776436e-06,2.6665579039266573e-06,train
7.886712870005999e-07,8.616467820182e-07,7.296514540039995e-08,7.45596420105999e-08,4.986326866454996e-08,1.8028893619686304e-08,1.7944179483039735e-08,4.653840561200002e-08,1.756812635530009e-08,3.1341209562649794e-08,2.063375645686644e-06,8.347980773541559e-07,train
7.671568381743e-07,9.278205044712e-07,7.295103719290003e-08,7.460497173599998e-08,4.9860571130699994e-08,1.8028828161381e-08,1.7851371016769096e-08,4.652718062531998e-08,1.7568063289700017e-08,3.134912572153001e-08,5.138446183027718e-07,2.6898380754912577e-06,train
6.9439702283e-07,8.469431429437e-07,7.297170528159996e-08,7.477120677670005e-08,4.986105638910006e-08,1.803104479804907e-08,1.7561924904886142e-08,4.652408890029991e-08,1.75693095337e-08,3.1339791550709956e-08,7.410653912196138e-07,1.0876800485300826e-06,train
7.385083508245999e-07,9.061283079884999e-07,7.295556315890003e-08,7.466512489769982e-08,4.985987655484001e-08,1.8029518268692835e-08,1.7739406744803973e-08,4.6524991137079916e-08,1.756826031580004e-08,3.134316613359987e-08,5.673476649278218e-07,2.068620796052444e-06,train
7.679809560346e-07,8.656023169552999e-07,7.29641590926999e-08,7.460108955940007e-08,4.986214033679981e-08,1.802919337063599e-08,1.7860076881921057e-08,4.653394954609994e-08,1.7568202524900078e-08,3.134028773123989e-08,1.6214528952147e-06,1.0281720485590538e-06,train
8.218057067992e-07,8.694151526166999e-07,7.296464981440001e-08,7.44978870414999e-08,4.9865210321100076e-08,1.8028342152898107e-08,1.8080517621621e-08,4.6545805939199905e-08,1.7568001980600004e-08,3.1344317149139795e-08,2.7838020794387753e-06,7.165362335157022e-07,train
7.03963298624e-07,8.792591779955e-07,7.296308809250004e-08,7.474637535759993e-08,4.985987617608997e-08,1.803047729887705e-08,1.7601272136361936e-08,4.652256861898989e-08,1.7568827158599876e-08,3.134044641402991e-08,5.183968375564788e-07,1.5870715996633454e-06,train
8.374156252271999e-07,9.296598268188e-07,7.295359226500006e-08,7.447301901849999e-08,4.986512783980994e-08,1.8027865182289796e-08,1.813873391158902e-08,4.6543804588910006e-08,1.7567895242199918e-08,3.135575287516993e-08,2.151634035073003e-06,2.244797608029997e-06,train
8.0567616035e-07,9.22776573331e-07,7.295241737499986e-08,7.452848523419993e-08,4.9862559374240083e-08,1.8028203260687945e-08,1.8009287519302978e-08,4.653596722828991e-08,1.7567803783699912e-08,3.1349791178009806e-08,1.4608631915803957e-06,2.2183507074834346e-06,train
8.625709319549e-07,9.46833707723e-07,7.295551595679992e-08,7.44359318768e-08,4.986848670114007e-08,1.8027832616000933e-08,1.8237414606068034e-08,4.654992839218997e-08,1.75684522036e-08,3.1369800493459966e-08,2.4340716377870372e-06,2.9677666956446253e-06,train
7.989473774e-07,9.287384256868e-07,7.295128166890019e-08,7.454186071639993e-08,4.9862145065820015e-08,1.8028353561360198e-08,1.798032003498887e-08,4.65335275382498e-08,1.756789647639998e-08,3.135116026162995e-08,1.134631376820807e-06,2.518176038900014e-06,train
7.220764072799999e-07,9.07468865608e-07,7.295598945969981e-08,7.470315826510005e-08,4.985949437753991e-08,1.8029837450656893e-08,1.7672982906849027e-08,4.652234008552993e-08,1.7568433603899973e-08,3.134341747416001e-08,3.0243262056231904e-07,2.1912978234013284e-06,train
8.490897049389e-07,9.304853318897999e-07,7.295493858959983e-08,7.445389199369979e-08,4.986647001628989e-08,1.8027732518633074e-08,1.818757660486488e-08,4.654766640163995e-08,1.756803019960005e-08,3.13581953048299e-08,2.531649123869174e-06,2.1669427073556848e-06,train
8.232395445719e-07,9.395691658163999e-07,7.295113858739996e-08,7.449926953609994e-08,4.986391471636997e-08,1.8028089308916952e-08,1.8076104797760845e-08,4.653787237639005e-08,1.7567999835900087e-08,3.1358214059719916e-08,1.3737370308433887e-06,2.8877832305395287e-06,train
6.322959587459999e-07,8.3708476922e-07,7.297944367189983e-08,7.494594759129986e-08,4.9861002271410035e-08,1.8033078157622884e-08,1.7310208962789106e-08,4.6517639149509925e-08,1.7570594279500016e-08,3.134190770175991e-08,1.7687121200665667e-07,1.171911241582221e-06,train
6.44497190789e-07,8.274350438111e-07,7.298086392550008e-08,7.490957166779993e-08,4.9861556396510023e-08,1.8032757228685137e-08,1.735905733086024e-08,4.651969467255991e-08,1.757040313639999e-08,3.13416413118898e-08,3.6552976045063857e-07,1.0092012471715155e-06,train
6.80385878811e-07,8.599869350876e-07,7.29694143357e-08,7.480740776770004e-08,4.9860321848230014e-08,1.8031332927627098e-08,1.7505785181525896e-08,4.652118787666003e-08,1.756938546610006e-08,3.1340176690859836e-08,4.598567510546643e-07,1.3384684561897757e-06,train
5.752395545599999e-07,7.15458519027e-07,7.302205344979994e-08,7.5149240984e-08,4.986848454431985e-08,1.8037107921146116e-08,1.706710178948108e-08,4.6522090994890046e-08,1.757387127669986e-08,3.1353565272559785e-08,3.035074957214827e-07,1.5503810976711297e-07,train
8.121549546341e-07,8.683762915916999e-07,7.29643178995001e-08,7.451520294439999e-08,4.986454204403995e-08,1.8028473110497913e-08,1.8040564737528795e-08,4.654332801492e-08,1.7567958543199975e-08,3.134323365184992e-08,2.5355497442952597e-06,7.785075031305944e-07,train
6.98057708432e-07,9.047227906218e-07,7.295783553620004e-08,7.476174928210004e-08,4.985901839036999e-08,1.803041591349918e-08,1.7576493967975077e-08,4.651924692916003e-08,1.756877412599982e-08,3.134321760688003e-08,4.003092991818791e-08,2.224225032487395e-06,train
7.847437483857e-07,9.333743644450999e-07,7.295032562770011e-08,7.457014986869976e-08,4.9861332433969984e-08,1.802853332549902e-08,1.7920988235384925e-08,4.65296919245799e-08,1.756793633099993e-08,3.135206396704999e-08,6.745800156049839e-07,2.8415287837553846e-06,train
6.66158857803e-07,8.124177021382e-07,7.298318008979984e-08,7.484834399479979e-08,4.986239365781002e-08,1.80322748799847e-08,1.7445664422980178e-08,4.6523352830350004e-08,1.757020349839997e-08,3.134142616882992e-08,6.82207687258876e-07,7.6129077661413e-07,train
8.390378803390999e-07,9.01029655878e-07,7.2958991293e-08,7.446823226919993e-08,4.986573339267001e-08,1.8027867348633945e-08,1.8150926955219977e-08,4.654792303525985e-08,1.7567887595499872e-08,3.1349278167570064e-08,2.861522181980945e-06,1.2458821821997784e-06,train
8.237095933975e-07,8.998355681634999e-07,7.295778679559989e-08,7.44944713069001e-08,4.9864341650249904e-08,1.8028011564703043e-08,1.808710210695114e-08,4.6543407607789884e-08,1.7567774080599886e-08,3.13469038346e-08,2.411425529804251e-06,1.353017150836348e-06,train
7.869217054137999e-07,9.234011577572e-07,7.295183718190008e-08,7.456449243159986e-08,4.986151026208996e-08,1.802853488781508e-08,1.7932677270895032e-08,4.6531653850499795e-08,1.7567894259400083e-08,3.1348638651849936e-08,1.0258325850520463e-06,2.3745959840590284e-06,train
7.335354880633e-07,8.89871008261e-07,7.295918648509995e-08,7.467591322899989e-08,4.986016506011008e-08,1.802970282155805e-08,1.772033283254796e-08,4.652585230584991e-08,1.756840162410011e-08,3.1341115607720076e-08,7.691004873910454e-07,1.677140930665337e-06,train
5.874784334249999e-07,7.258540966509999e-07,7.301715807289996e-08,7.510359386479993e-08,4.9867702012439934e-08,1.8036470557166018e-08,1.711814465254611e-08,4.652235982563997e-08,1.7573333448099896e-08,3.135166013918997e-08,3.664527219124304e-07,2.0462223836845918e-07,train
8.341977746727e-07,8.981029209036999e-07,7.295905307920001e-08,7.447632041250013e-08,4.986530241031998e-08,1.802790863712981e-08,1.8130951141029953e-08,4.654672948758996e-08,1.7567833070899985e-08,3.134808839742995e-08,2.754582090207079e-06,1.215996643505585e-06,train
8.401795074823999e-07,9.362909905819e-07,7.295303958660006e-08,7.446947047740004e-08,4.9865487753790075e-08,1.8027789301137984e-08,1.8147921443514037e-08,4.6543653711610016e-08,1.7568036014299968e-08,3.135906076091994e-08,2.022187760708625e-06,2.546692640223819e-06,train
8.04266977333e-07,8.687384200775999e-07,7.296387991510001e-08,7.45296911927e-08,4.986394773023994e-08,1.802858537285682e-08,1.8008102753458926e-08,4.654130470503e-08,1.7567995985499856e-08,3.134252298023005e-08,2.3358296110435516e-06,8.458464351906178e-07,train
7.451131300652e-07,9.169867745611e-07,7.29532641755e-08,7.465107716890005e-08,4.9859875646529734e-08,1.8029288620532123e-08,1.7764574713224073e-08,4.652471646856992e-08,1.75681501429001e-08,3.134544498000983e-08,4.335377603047366e-07,2.3842118177074707e-06,train
8.200359255584999e-07,9.359228172438999e-07,7.295127230889982e-08,7.450415674949999e-08,4.986365858025995e-08,1.8028034353139178e-08,1.8064419461005814e-08,4.653767263387993e-08,1.7567940639799782e-08,3.1356077065009826e-08,1.4238903286783496e-06,2.70832526300646e-06,train
8.243933639588999e-07,9.318972449419999e-07,7.29520854488e-08,7.449583229949995e-08,4.98640017852599e-08,1.8027968087176946e-08,1.8083797678866913e-08,4.6539500613e-08,1.7567845988199864e-08,3.135479890825984e-08,1.6843991841729168e-06,2.4662053358578197e-06,train
7.570646258568998e-07,8.828615119631999e-07,7.296018908819983e-08,7.46238158525e-08,4.986116028604988e-08,1.8029230055335203e-08,1.7815724180742997e-08,4.653043601730994e-08,1.756813319799985e-08,3.1340791697629966e-08,1.230457901699617e-06,1.4075877369178719e-06,train
7.562503374387e-07,8.833585188331e-07,7.295999875519989e-08,7.462556562729998e-08,4.986107047296008e-08,1.8029226378881022e-08,1.781232790268809e-08,4.653023518941e-08,1.7568133738199982e-08,3.1340892128629915e-08,1.2104367279874643e-06,1.4221039665128654e-06,train
6.30577199605e-07,7.228874720499999e-07,7.301333809609999e-08,7.49609541871001e-08,4.986773246548991e-08,1.8034914301845797e-08,1.7293155099456783e-08,4.652685761179995e-08,1.757233804220011e-08,3.134979550314003e-08,7.504051293663543e-07,5.503319198137369e-08,train
7.165350948849999e-07,8.692322292155e-07,7.296483000699986e-08,7.471572847630006e-08,4.986052380221007e-08,1.8030259476394884e-08,1.7651916675855124e-08,4.6525226583289996e-08,1.756873619029986e-08,3.133981444969003e-08,7.982682592994455e-07,1.346089772619154e-06,train
8.451842556046e-07,9.29255402664e-07,7.295456283180002e-08,7.44601130174e-08,4.986602338708996e-08,1.802775356897179e-08,1.8171495717494855e-08,4.654653020429007e-08,1.7567958516399852e-08,3.135697658326988e-08,2.4277465901763775e-06,2.150876332975951e-06,train
8.358566874778999e-07,9.249218999586e-07,7.29541446134999e-08,7.447509979919991e-08,4.986505195876994e-08,1.8027818717281035e-08,1.8133541179299826e-08,4.654400871149992e-08,1.7567835842599947e-08,3.1353921128779986e-08,2.238202851196586e-06,2.0553414540611e-06,train
7.476957080608999e-07,8.273859602671999e-07,7.297443767559983e-08,7.464602999650006e-08,4.98631758928699e-08,1.803004662500509e-08,1.777638363639433e-08,4.6533497578469994e-08,1.756878263539996e-08,3.133992461792981e-08,1.6171084440240692e-06,5.893387041548402e-07,train
8.623586214683999e-07,9.465032658734999e-07,7.2955437509e-08,7.443612652939977e-08,4.9868389413759966e-08,1.8027836511110105e-08,1.8236715495644907e-08,4.654993649173003e-08,1.7568455428499858e-08,3.136952111953001e-08,2.4411055696856062e-06,2.946096071028011e-06,train
6.78608691221e-07,7.534850332209999e-07,7.299945944779998e-08,7.481937480470002e-08,4.986593368232996e-08,1.8032885550820066e-08,1.749102778305803e-08,4.6529655571160033e-08,1.7570771618299967e-08,3.134506323685996e-08,1.119982024358828e-06,1.402376453474432e-07,train
6.009578351669998e-07,8.202035076130999e-07,7.298743241479989e-08,7.50483651638e-08,4.986184946735999e-08,1.8034324436853932e-08,1.71819533717186e-08,4.651579757973997e-08,1.7571575183099896e-08,3.13439217055399e-08,2.36712429048499e-08,1.0551276099697576e-06,train
8.598186139611999e-07,9.362275279666e-07,7.295590136140015e-08,7.443774912459983e-08,4.986782289930991e-08,1.8027649741895093e-08,1.823112446157295e-08,4.655094833591998e-08,1.7568236471899867e-08,3.136299912487993e-08,2.764203559253013e-06,2.334533146535353e-06,train
8.546641809008999e-07,9.381161444532999e-07,7.29547346218e-08,7.444616767939989e-08,4.986719214773995e-08,1.8027740384500777e-08,1.820835052881569e-08,4.654846811379989e-08,1.756815004790006e-08,3.136266569157002e-08,2.482985322333094e-06,2.4971477289406514e-06,train
8.112769453324e-07,9.095975855088999e-07,7.295498985459999e-08,7.45171279919e-08,4.986319729310003e-08,1.8028132499399042e-08,1.8034661178328947e-08,4.653905493166996e-08,1.75677679342997e-08,3.134716216910992e-08,1.9000058753381915e-06,1.724269135666839e-06,train
7.691040418685e-07,9.233939059545e-07,7.295179057269984e-08,7.460043301949984e-08,4.986064873024999e-08,1.8028771319487644e-08,1.786036175897727e-08,4.652814246129003e-08,1.756798425350019e-08,3.134776462543988e-08,6.780008491713212e-07,2.4884953056683283e-06,train
7.078080993459999e-07,9.084116037518999e-07,7.295656118399986e-08,7.473759999079997e-08,4.985918361006002e-08,1.8030156479636e-08,1.761534863023617e-08,4.6520173639709895e-08,1.756869876459992e-08,3.1343697702329894e-08,8.98376896187444e-08,2.289694567055422e-06,train
7.07770228866e-07,8.496832268963e-07,7.297020272899995e-08,7.47375947960998e-08,4.9861172949409916e-08,1.8030687923026745e-08,1.761596260596688e-08,4.652559411438003e-08,1.756902214859977e-08,3.133960393092013e-08,8.792359001800601e-07,1.07274236556864e-06,train
