N = 2 
M = 2 
L = 2 
N_runs = 1000 
Cmin = 0.0 
Cmax = 1.5e-06 
Ai = 1e-06 
fskew = None 
Cskew = None 
8.679674167739699e-07	8.801966652224596e-07	8.073477474652999e-07	8.4453283019162e-07	
4.3676952585481055e-07	8.026618705653286e-07	4.333107932319999e-07	7.8113794295611e-07	
6.344097278772446e-07	7.316223628832929e-07	6.176050613249999e-07	7.177128858861e-07	
2.149733490127046e-07	7.248842868635401e-07	2.2061176495199998e-07	7.1153195796735e-07	
4.977006483375907e-07	4.5849126380753903e-07	4.911451688129999e-07	4.565107253022e-07	
9.72990793972407e-07	9.512870213481864e-07	8.690987644081999e-07	8.9311465114818e-07	
1.4406402864224029e-06	7.81002963824136e-07	9.646962496625099e-07	7.621933586566e-07	
5.257240026921291e-07	1.4721648185134184e-06	5.17514828454e-07	9.84479876167397e-07	
8.78448089476243e-07	9.303643218969034e-07	8.143827505047e-07	8.8005894786753e-07	
2.39322915281071e-07	5.533431286975503e-07	2.43845591775e-07	5.4883260580381e-07	
4.266887073565756e-08	3.262048682815589e-07	6.851102768e-08	3.2671653363455995e-07	
2.5214978292233555e-07	3.348838664489548e-07	2.56125048435e-07	3.352473613663e-07	
8.751200256070948e-07	6.814858362851707e-07	8.121667973372e-07	6.712063131394e-07	
1.2075866336050947e-06	7.096138538353304e-07	9.402957565842e-07	6.974319084288e-07	
7.66030865334784e-07	1.355140853187825e-06	7.30913031747e-07	9.80005912995852e-07	
1.4544742745980875e-06	3.8402221773441723e-07	9.655685257018799e-07	3.8352477123939997e-07	
4.588666885750803e-07	1.0007758145865442e-06	4.5435602681099994e-07	9.1920428123542e-07	
1.2721182305579185e-06	1.4797033214432306e-06	9.495515805517e-07	9.84698393071395e-07	
1.1717881340738897e-06	9.431517587907741e-07	9.338549662734e-07	8.8817214477981e-07	
9.981203591719721e-07	6.01199012075685e-07	8.808277393236e-07	5.949564183733e-07	
1.2452558757734257e-06	2.2511768004724244e-07	9.460129479522899e-07	2.2747339145099992e-07	
5.385163668720838e-07	1.0603615712242288e-06	5.29482191091e-07	9.4168442459493e-07	
8.747220695345854e-07	1.2063361250006133e-06	8.119060730147999e-07	9.6908906783647e-07	
8.61176297031219e-07	1.356779068990554e-06	8.027030199194e-07	9.80084672339335e-07	
9.57299027194806e-07	4.936120405614348e-07	8.611636437523999e-07	4.908016804059999e-07	
1.2187316263253985e-06	1.2590305714273776e-06	9.420969761203e-07	9.7400460819234e-07	
